year,state,party,votes
1984,OHIO,REPUBLICAN,2678559
1984,OKLAHOMA,REPUBLICAN,861530
1984,OREGON,REPUBLICAN,685700
1984,PENNSYLVANIA,REPUBLICAN,2584323
1984,RHODE ISLAND,REPUBLICAN,212080
1984,SOUTH CAROLINA,REPUBLICAN,615539
1984,SOUTH DAKOTA,REPUBLICAN,200267
1984,TENNESSEE,REPUBLICAN,990212
1984,TEXAS,REPUBLICAN,3433428
1984,UTAH,REPUBLICAN,469105
1984,VERMONT,REPUBLICAN,135865
1984,VIRGINIA,REPUBLICAN,1337078
1984,WASHINGTON,REPUBLICAN,1051670
1984,WEST VIRGINIA,REPUBLICAN,405483
1984,WISCONSIN,REPUBLICAN,1198584
1984,WYOMING,REPUBLICAN,133241
1988,ALABAMA,REPUBLICAN,815576
1988,ALASKA,REPUBLICAN,119251
1988,ARIZONA,REPUBLICAN,702541
1988,ARKANSAS,REPUBLICAN,466578
1988,CALIFORNIA,REPUBLICAN,5054917
1988,COLORADO,REPUBLICAN,728177
1988,CONNECTICUT,REPUBLICAN,750241
1988,DELAWARE,REPUBLICAN,139639
1988,DISTRICT OF COLUMBIA,REPUBLICAN,27590
1988,FLORIDA,REPUBLICAN,2618885
1988,GEORGIA,REPUBLICAN,1081331
1988,HAWAII,REPUBLICAN,158625
1988,IDAHO,REPUBLICAN,253881
1988,ILLINOIS,REPUBLICAN,2310939
1988,INDIANA,REPUBLICAN,1297763
1988,IOWA,REPUBLICAN,545355
1988,KANSAS,REPUBLICAN,554049
1988,KENTUCKY,REPUBLICAN,734281
1988,LOUISIANA,REPUBLICAN,883702
1988,MAINE,REPUBLICAN,307131
1988,MARYLAND,REPUBLICAN,876167
1988,MASSACHUSETTS,REPUBLICAN,1194635
1988,MICHIGAN,REPUBLICAN,1965486
1988,MINNESOTA,REPUBLICAN,962337
1988,MISSISSIPPI,REPUBLICAN,557890
1988,MISSOURI,REPUBLICAN,1084953
1988,MONTANA,REPUBLICAN,190412
1988,NEBRASKA,REPUBLICAN,397956
1988,NEVADA,REPUBLICAN,206040
1988,NEW HAMPSHIRE,REPUBLICAN,281537
1988,NEW JERSEY,REPUBLICAN,1743192
1988,NEW MEXICO,REPUBLICAN,270341
1988,NEW YORK,REPUBLICAN,2838414
1988,NORTH CAROLINA,REPUBLICAN,1237258
1988,NORTH DAKOTA,REPUBLICAN,166559
1988,OHIO,REPUBLICAN,2416549
1988,OKLAHOMA,REPUBLICAN,678367
1988,OREGON,REPUBLICAN,560126
1988,PENNSYLVANIA,REPUBLICAN,2300087
1988,RHODE ISLAND,REPUBLICAN,177761
1988,SOUTH CAROLINA,REPUBLICAN,606443
1988,SOUTH DAKOTA,REPUBLICAN,165415
1988,TENNESSEE,REPUBLICAN,947233
1988,TEXAS,REPUBLICAN,3036829
1988,UTAH,REPUBLICAN,428442
1988,VERMONT,REPUBLICAN,124331
1988,VIRGINIA,REPUBLICAN,1309162
1988,WASHINGTON,REPUBLICAN,903835
1988,WEST VIRGINIA,REPUBLICAN,310065
1988,WISCONSIN,REPUBLICAN,1047499
1988,WYOMING,REPUBLICAN,106867
1992,ALABAMA,REPUBLICAN,804283
1992,ALASKA,REPUBLICAN,102000
1992,ARIZONA,REPUBLICAN,572086
1992,ARKANSAS,REPUBLICAN,337324
1992,CALIFORNIA,REPUBLICAN,3630574
1992,COLORADO,REPUBLICAN,562850
1992,CONNECTICUT,REPUBLICAN,578313
1992,DELAWARE,REPUBLICAN,102313
1992,DISTRICT OF COLUMBIA,REPUBLICAN,20698
1992,FLORIDA,REPUBLICAN,2173310
1992,GEORGIA,REPUBLICAN,995252
1992,HAWAII,REPUBLICAN,136822
1992,IDAHO,REPUBLICAN,202645
1992,ILLINOIS,REPUBLICAN,1734096
1992,INDIANA,REPUBLICAN,989375
1992,IOWA,REPUBLICAN,504891
1992,KANSAS,REPUBLICAN,449951
1992,KENTUCKY,REPUBLICAN,617178
1992,LOUISIANA,REPUBLICAN,733386
1992,MAINE,REPUBLICAN,206504
1992,MARYLAND,REPUBLICAN,707094
1992,MASSACHUSETTS,REPUBLICAN,805039
1992,MICHIGAN,REPUBLICAN,1554940
1992,MINNESOTA,REPUBLICAN,747841
1992,MISSISSIPPI,REPUBLICAN,487793
1992,MISSOURI,REPUBLICAN,811159
1992,MONTANA,REPUBLICAN,144207
1992,NEBRASKA,REPUBLICAN,343678
1992,NEVADA,REPUBLICAN,175828
1992,NEW HAMPSHIRE,REPUBLICAN,202484
1992,NEW JERSEY,REPUBLICAN,1356865
1992,NEW MEXICO,REPUBLICAN,212824
1992,NEW YORK,REPUBLICAN,2041690
1992,NORTH CAROLINA,REPUBLICAN,1134661
1992,NORTH DAKOTA,REPUBLICAN,136244
1992,OHIO,REPUBLICAN,1894310
1992,OKLAHOMA,REPUBLICAN,592929
1992,OREGON,REPUBLICAN,475757
1992,PENNSYLVANIA,REPUBLICAN,1791841
1992,RHODE ISLAND,REPUBLICAN,131601
1992,SOUTH CAROLINA,REPUBLICAN,577507
1992,SOUTH DAKOTA,REPUBLICAN,136718
1992,TENNESSEE,REPUBLICAN,841300
1992,TEXAS,REPUBLICAN,2496071
1992,UTAH,REPUBLICAN,322632
1992,VERMONT,REPUBLICAN,88122
1992,VIRGINIA,REPUBLICAN,1150517
1992,WASHINGTON,REPUBLICAN,731234
1992,WEST VIRGINIA,REPUBLICAN,241974
1992,WISCONSIN,REPUBLICAN,930855
1992,WYOMING,REPUBLICAN,79347
1996,ALABAMA,REPUBLICAN,769044
1996,ALASKA,REPUBLICAN,122746
1996,ARIZONA,REPUBLICAN,622073
1996,ARKANSAS,REPUBLICAN,325416
1996,CALIFORNIA,REPUBLICAN,3828381
1996,COLORADO,REPUBLICAN,691848
1996,CONNECTICUT,REPUBLICAN,483109
1996,DELAWARE,REPUBLICAN,99062
1996,DISTRICT OF COLUMBIA,REPUBLICAN,17339
1996,FLORIDA,REPUBLICAN,2244536
1996,GEORGIA,REPUBLICAN,1080843
1996,HAWAII,REPUBLICAN,113943
1996,IDAHO,REPUBLICAN,256595
1996,ILLINOIS,REPUBLICAN,1587021
1996,INDIANA,REPUBLICAN,1006693
1996,IOWA,REPUBLICAN,492644
1996,KANSAS,REPUBLICAN,583245
1996,KENTUCKY,REPUBLICAN,623283
1996,LOUISIANA,REPUBLICAN,712586
1996,MAINE,REPUBLICAN,186378
1996,MARYLAND,REPUBLICAN,681530
1996,MASSACHUSETTS,REPUBLICAN,718058
1996,MICHIGAN,REPUBLICAN,1481212
1996,MINNESOTA,REPUBLICAN,766395
1996,MISSISSIPPI,REPUBLICAN,439838
1996,MISSOURI,REPUBLICAN,890016
1996,MONTANA,REPUBLICAN,179652
1996,NEBRASKA,REPUBLICAN,363467
1996,NEVADA,REPUBLICAN,199244
1996,NEW HAMPSHIRE,REPUBLICAN,196486
1996,NEW JERSEY,REPUBLICAN,1103099
1996,NEW MEXICO,REPUBLICAN,232751
1996,NEW YORK,REPUBLICAN,1738707
1996,NORTH CAROLINA,REPUBLICAN,1225938
1996,NORTH DAKOTA,REPUBLICAN,125050
1996,OHIO,REPUBLICAN,1859883
1996,OKLAHOMA,REPUBLICAN,582315
1996,OREGON,REPUBLICAN,538152
1996,PENNSYLVANIA,REPUBLICAN,1801169
1996,RHODE ISLAND,REPUBLICAN,104683
1996,SOUTH CAROLINA,REPUBLICAN,573339
1996,SOUTH DAKOTA,REPUBLICAN,150543
1996,TENNESSEE,REPUBLICAN,863530
1996,TEXAS,REPUBLICAN,2736167
1996,UTAH,REPUBLICAN,361911
1996,VERMONT,REPUBLICAN,80352
1996,VIRGINIA,REPUBLICAN,1138350
1996,WASHINGTON,REPUBLICAN,840712
1996,WEST VIRGINIA,REPUBLICAN,233946
1996,WISCONSIN,REPUBLICAN,845029
1996,WYOMING,REPUBLICAN,105388
2000,ALABAMA,REPUBLICAN,941173
2000,ALASKA,REPUBLICAN,167398
2000,ARIZONA,REPUBLICAN,781652
2000,ARKANSAS,REPUBLICAN,472940
2000,CALIFORNIA,REPUBLICAN,4567429
2000,COLORADO,REPUBLICAN,883748
2000,CONNECTICUT,REPUBLICAN,561094
2000,DELAWARE,REPUBLICAN,137288
2000,DISTRICT OF COLUMBIA,REPUBLICAN,18073
2000,FLORIDA,REPUBLICAN,2912790
2000,GEORGIA,REPUBLICAN,1419720
2000,HAWAII,REPUBLICAN,137845
2000,IDAHO,REPUBLICAN,336937
2000,ILLINOIS,REPUBLICAN,2019421
2000,INDIANA,REPUBLICAN,1245836
2000,IOWA,REPUBLICAN,634373
2000,KANSAS,REPUBLICAN,622332
2000,KENTUCKY,REPUBLICAN,872520
2000,LOUISIANA,REPUBLICAN,927871
2000,MAINE,REPUBLICAN,286616
2000,MARYLAND,REPUBLICAN,813827
2000,MASSACHUSETTS,REPUBLICAN,878502
2000,MICHIGAN,REPUBLICAN,1953139
2000,MINNESOTA,REPUBLICAN,1109659
2000,MISSISSIPPI,REPUBLICAN,572844
2000,MISSOURI,REPUBLICAN,1189924
2000,MONTANA,REPUBLICAN,240178
2000,NEBRASKA,REPUBLICAN,433862
2000,NEVADA,REPUBLICAN,301575
2000,NEW HAMPSHIRE,REPUBLICAN,273559
2000,NEW JERSEY,REPUBLICAN,1284173
2000,NEW MEXICO,REPUBLICAN,286417
2000,NEW YORK,REPUBLICAN,2258577
2000,NORTH CAROLINA,REPUBLICAN,1631163
2000,NORTH DAKOTA,REPUBLICAN,174852
2000,OHIO,REPUBLICAN,2350363
2000,OKLAHOMA,REPUBLICAN,744337
2000,OREGON,REPUBLICAN,713577
2000,PENNSYLVANIA,REPUBLICAN,2281127
2000,RHODE ISLAND,REPUBLICAN,130555
2000,SOUTH CAROLINA,REPUBLICAN,786892
2000,SOUTH DAKOTA,REPUBLICAN,190700
2000,TENNESSEE,REPUBLICAN,1061949
2000,TEXAS,REPUBLICAN,3799639
2000,UTAH,REPUBLICAN,515096
2000,VERMONT,REPUBLICAN,119775
2000,VIRGINIA,REPUBLICAN,1437490
2000,WASHINGTON,REPUBLICAN,1108864
2000,WEST VIRGINIA,REPUBLICAN,336475
2000,WISCONSIN,REPUBLICAN,1237279
2000,WYOMING,REPUBLICAN,147947
2004,ALABAMA,REPUBLICAN,1176394
2004,ALASKA,REPUBLICAN,190889
2004,ARIZONA,REPUBLICAN,1104294
2004,ARKANSAS,REPUBLICAN,572898
2004,CALIFORNIA,REPUBLICAN,5509826
2004,COLORADO,REPUBLICAN,1101255
2004,CONNECTICUT,REPUBLICAN,693826
2004,DELAWARE,REPUBLICAN,171660
2004,DISTRICT OF COLUMBIA,REPUBLICAN,21256
2004,FLORIDA,REPUBLICAN,3964522
2004,GEORGIA,REPUBLICAN,1914254
2004,HAWAII,REPUBLICAN,194191
2004,IDAHO,REPUBLICAN,409235
2004,ILLINOIS,REPUBLICAN,2345946
2004,INDIANA,REPUBLICAN,1479438
2004,IOWA,REPUBLICAN,751957
2004,KANSAS,REPUBLICAN,736456
2004,KENTUCKY,REPUBLICAN,1069439
2004,LOUISIANA,REPUBLICAN,1102169
2004,MAINE,REPUBLICAN,330201
2004,MARYLAND,REPUBLICAN,1024703
2004,MASSACHUSETTS,REPUBLICAN,1071109
2004,MICHIGAN,REPUBLICAN,2313746
2004,MINNESOTA,REPUBLICAN,1346695
2004,MISSISSIPPI,REPUBLICAN,672660
2004,MISSOURI,REPUBLICAN,1455713
2004,MONTANA,REPUBLICAN,266063
2004,NEBRASKA,REPUBLICAN,512814
2004,NEVADA,REPUBLICAN,418690
2004,NEW HAMPSHIRE,REPUBLICAN,331237
2004,NEW JERSEY,REPUBLICAN,1670003
2004,NEW MEXICO,REPUBLICAN,376930
2004,NEW YORK,REPUBLICAN,2806993
2004,NORTH CAROLINA,REPUBLICAN,1961166
2004,NORTH DAKOTA,REPUBLICAN,196651
2004,OHIO,REPUBLICAN,2859764
2004,OKLAHOMA,REPUBLICAN,959792
2004,OREGON,REPUBLICAN,866831
2004,PENNSYLVANIA,REPUBLICAN,2793847
2004,RHODE ISLAND,REPUBLICAN,169046
2004,SOUTH CAROLINA,REPUBLICAN,937974
2004,SOUTH DAKOTA,REPUBLICAN,232584
2004,TENNESSEE,REPUBLICAN,1384375
2004,TEXAS,REPUBLICAN,4526917
2004,UTAH,REPUBLICAN,663742
2004,VERMONT,REPUBLICAN,121180
2004,VIRGINIA,REPUBLICAN,1716959
2004,WASHINGTON,REPUBLICAN,1304894
2004,WEST VIRGINIA,REPUBLICAN,423778
2004,WISCONSIN,REPUBLICAN,1478120
2004,WYOMING,REPUBLICAN,167629
2008,ALABAMA,REPUBLICAN,1266546
2008,ALASKA,REPUBLICAN,193841
2008,ARIZONA,REPUBLICAN,1230111
2008,ARKANSAS,REPUBLICAN,638017
2008,CALIFORNIA,REPUBLICAN,5011781
2008,COLORADO,REPUBLICAN,1073589
2008,CONNECTICUT,REPUBLICAN,629428
2008,DELAWARE,REPUBLICAN,152374
2008,DISTRICT OF COLUMBIA,REPUBLICAN,17367
2008,FLORIDA,REPUBLICAN,4045624
2008,GEORGIA,REPUBLICAN,2048759
2008,HAWAII,REPUBLICAN,120566
2008,IDAHO,REPUBLICAN,403012
2008,ILLINOIS,REPUBLICAN,2031179
2008,INDIANA,REPUBLICAN,1345648
2008,IOWA,REPUBLICAN,682379
2008,KANSAS,REPUBLICAN,699655
2008,KENTUCKY,REPUBLICAN,1048462
2008,LOUISIANA,REPUBLICAN,1148275
2008,MAINE,REPUBLICAN,295273
2008,MARYLAND,REPUBLICAN,959862
2008,MASSACHUSETTS,REPUBLICAN,1108854
2008,MICHIGAN,REPUBLICAN,2048639
2008,MINNESOTA,REPUBLICAN,1275409
2008,MISSISSIPPI,REPUBLICAN,724597
2008,MISSOURI,REPUBLICAN,1445814
2008,MONTANA,REPUBLICAN,242763
2008,NEBRASKA,REPUBLICAN,452979
2008,NEVADA,REPUBLICAN,412827
2008,NEW HAMPSHIRE,REPUBLICAN,316534
2008,NEW JERSEY,REPUBLICAN,1613207
2008,NEW MEXICO,REPUBLICAN,346832
2008,NEW YORK,REPUBLICAN,2418323
2008,NORTH CAROLINA,REPUBLICAN,2128474
2008,NORTH DAKOTA,REPUBLICAN,168601
2008,OHIO,REPUBLICAN,2677820
2008,OKLAHOMA,REPUBLICAN,960165
2008,OREGON,REPUBLICAN,738475
2008,PENNSYLVANIA,REPUBLICAN,2655885
2008,RHODE ISLAND,REPUBLICAN,165391
2008,SOUTH CAROLINA,REPUBLICAN,1034896
2008,SOUTH DAKOTA,REPUBLICAN,203054
2008,TENNESSEE,REPUBLICAN,1479178
2008,TEXAS,REPUBLICAN,4479328
2008,UTAH,REPUBLICAN,596030
2008,VERMONT,REPUBLICAN,98974
2008,VIRGINIA,REPUBLICAN,1725005
2008,WASHINGTON,REPUBLICAN,1229216
2008,WEST VIRGINIA,REPUBLICAN,397466
2008,WISCONSIN,REPUBLICAN,1262393
2008,WYOMING,REPUBLICAN,164958
2012,ALABAMA,REPUBLICAN,1255925
2012,ALASKA,REPUBLICAN,164676
2012,ARIZONA,REPUBLICAN,1233654
2012,ARKANSAS,REPUBLICAN,647744
2012,CALIFORNIA,REPUBLICAN,4839958
2012,COLORADO,REPUBLICAN,1185243
2012,CONNECTICUT,REPUBLICAN,634892
2012,DELAWARE,REPUBLICAN,165484
2012,DISTRICT OF COLUMBIA,REPUBLICAN,21381
2012,FLORIDA,REPUBLICAN,4163447
2012,GEORGIA,REPUBLICAN,2078688
2012,HAWAII,REPUBLICAN,121015
2012,IDAHO,REPUBLICAN,420911
2012,ILLINOIS,REPUBLICAN,2135216
2012,INDIANA,REPUBLICAN,1420543
2012,IOWA,REPUBLICAN,730617
2012,KANSAS,REPUBLICAN,692634
2012,KENTUCKY,REPUBLICAN,1087190
2012,LOUISIANA,REPUBLICAN,1152262
2012,MAINE,REPUBLICAN,292276
2012,MARYLAND,REPUBLICAN,971869
2012,MASSACHUSETTS,REPUBLICAN,1188314
2012,MICHIGAN,REPUBLICAN,2115256
2012,MINNESOTA,REPUBLICAN,1320225
2012,MISSISSIPPI,REPUBLICAN,710746
2012,MISSOURI,REPUBLICAN,1482440
2012,MONTANA,REPUBLICAN,267928
2012,NEBRASKA,REPUBLICAN,475064
2012,NEVADA,REPUBLICAN,463567
2012,NEW HAMPSHIRE,REPUBLICAN,329918
2012,NEW JERSEY,REPUBLICAN,1478088
2012,NEW MEXICO,REPUBLICAN,335788
2012,NEW YORK,REPUBLICAN,2223397
2012,NORTH CAROLINA,REPUBLICAN,2270395
2012,NORTH DAKOTA,REPUBLICAN,188320
2012,OHIO,REPUBLICAN,2661407
2012,OKLAHOMA,REPUBLICAN,891325
2012,OREGON,REPUBLICAN,754175
2012,PENNSYLVANIA,REPUBLICAN,2680434
2012,RHODE ISLAND,REPUBLICAN,157204
2012,SOUTH CAROLINA,REPUBLICAN,1071645
2012,SOUTH DAKOTA,REPUBLICAN,210610
2012,TENNESSEE,REPUBLICAN,1462330
2012,TEXAS,REPUBLICAN,4569843
2012,UTAH,REPUBLICAN,740600
2012,VERMONT,REPUBLICAN,92698
2012,VIRGINIA,REPUBLICAN,1822522
2012,WASHINGTON,REPUBLICAN,1290670
2012,WEST VIRGINIA,REPUBLICAN,417655
2012,WISCONSIN,REPUBLICAN,1410966
2012,WYOMING,REPUBLICAN,170962
2016,ALABAMA,REPUBLICAN,1318255
2016,ALASKA,REPUBLICAN,163387
2016,ARIZONA,REPUBLICAN,1252401
2016,ARKANSAS,REPUBLICAN,684872
2016,CALIFORNIA,REPUBLICAN,4483810
2016,COLORADO,REPUBLICAN,1202484
2016,CONNECTICUT,REPUBLICAN,673215
2016,DELAWARE,REPUBLICAN,185127
2016,DISTRICT OF COLUMBIA,REPUBLICAN,12723
2016,FLORIDA,REPUBLICAN,4617886
2016,GEORGIA,REPUBLICAN,2089104
2016,HAWAII,REPUBLICAN,128847
2016,IDAHO,REPUBLICAN,409055
2016,ILLINOIS,REPUBLICAN,2146015
2016,INDIANA,REPUBLICAN,1557286
2016,IOWA,REPUBLICAN,800983
2016,KANSAS,REPUBLICAN,671018
2016,KENTUCKY,REPUBLICAN,1202971
2016,LOUISIANA,REPUBLICAN,1178638
2016,MAINE,REPUBLICAN,335593
2016,MARYLAND,REPUBLICAN,943428
2016,MASSACHUSETTS,REPUBLICAN,1090893
2016,MICHIGAN,REPUBLICAN,2279543
2016,MINNESOTA,REPUBLICAN,1322949
2016,MISSISSIPPI,REPUBLICAN,700714
2016,MISSOURI,REPUBLICAN,1594511
2016,MONTANA,REPUBLICAN,279240
2016,NEBRASKA,REPUBLICAN,495961
2016,NEVADA,REPUBLICAN,512058
2016,NEW HAMPSHIRE,REPUBLICAN,345790
2016,NEW JERSEY,REPUBLICAN,1601933
2016,NEW MEXICO,REPUBLICAN,319667
2016,NEW YORK,REPUBLICAN,2527142
2016,NORTH CAROLINA,REPUBLICAN,2362631
2016,NORTH DAKOTA,REPUBLICAN,216794
2016,OHIO,REPUBLICAN,2841005
2016,OKLAHOMA,REPUBLICAN,949136
2016,OREGON,REPUBLICAN,782403
2016,PENNSYLVANIA,REPUBLICAN,2970733
2016,RHODE ISLAND,REPUBLICAN,180543
2016,SOUTH CAROLINA,REPUBLICAN,1155389
2016,SOUTH DAKOTA,REPUBLICAN,227721
2016,TENNESSEE,REPUBLICAN,1522925
2016,TEXAS,REPUBLICAN,4685047
2016,UTAH,REPUBLICAN,515211
2016,VERMONT,REPUBLICAN,95369
2016,VIRGINIA,REPUBLICAN,1769443
2016,WASHINGTON,REPUBLICAN,1221747
2016,WEST VIRGINIA,REPUBLICAN,489371
2016,WISCONSIN,REPUBLICAN,1405284
2016,WYOMING,REPUBLICAN,174419
2020,ALABAMA,REPUBLICAN,1441170
2020,ALASKA,REPUBLICAN,189951
2020,ARIZONA,REPUBLICAN,1661686
2020,ARKANSAS,REPUBLICAN,760647
2020,CALIFORNIA,REPUBLICAN,6006429
2020,COLORADO,REPUBLICAN,1364607
2020,CONNECTICUT,REPUBLICAN,714717
2020,DELAWARE,REPUBLICAN,200603
2020,DISTRICT OF COLUMBIA,REPUBLICAN,18586
2020,FLORIDA,REPUBLICAN,5668731
2020,GEORGIA,REPUBLICAN,2461854
2020,HAWAII,REPUBLICAN,196864
2020,IDAHO,REPUBLICAN,554119
2020,ILLINOIS,REPUBLICAN,2446891
2020,INDIANA,REPUBLICAN,1729519
2020,IOWA,REPUBLICAN,897672
2020,KANSAS,REPUBLICAN,771406
2020,KENTUCKY,REPUBLICAN,1326646
2020,LOUISIANA,REPUBLICAN,1255776
2020,MAINE,REPUBLICAN,360737
2020,MARYLAND,REPUBLICAN,976414
2020,MASSACHUSETTS,REPUBLICAN,1167202
2020,MICHIGAN,REPUBLICAN,2649852
2020,MINNESOTA,REPUBLICAN,1484065
2020,MISSISSIPPI,REPUBLICAN,756764
2020,MISSOURI,REPUBLICAN,1718736
2020,MONTANA,REPUBLICAN,343602
2020,NEBRASKA,REPUBLICAN,556846
2020,NEVADA,REPUBLICAN,669890
2020,NEW HAMPSHIRE,REPUBLICAN,365654
2020,NEW JERSEY,REPUBLICAN,1883274
2020,NEW MEXICO,REPUBLICAN,401894
2020,NEW YORK,REPUBLICAN,3244798
2020,NORTH CAROLINA,REPUBLICAN,2758773
2020,NORTH DAKOTA,REPUBLICAN,235595
2020,OHIO,REPUBLICAN,3154834
2020,OKLAHOMA,REPUBLICAN,1020280
